formulas,bandgap
Li1Be1H5N2F4,5.6924
Be1P1H4N1O4,5.0827
Na1Be1Si3H1O8,4.9781
Ca1Bi1C1O4F1,2.2216
Ca1Bi1C1O4F1,1.476
Li2Bi1P1C1O7,3.7499
Li2Bi1P1C1O7,3.6529
Li3Si1Bi1C1O7,3.4372
Rb1Bi1C4S4N4,2.5596
Na2Bi1P1C1O7,3.4772
Na1Bi1C1S1O7,3.7245
Na3Si1Bi1C1O7,3.2499
Cu3Bi1Te2Cl1O8,0.0542
K6Bi1H3Cl8F4,4.1881
K1Bi1N1Cl3O3,3.1015
K1Bi1S1Cl2O4,4.179
La1Zn1Cr1Bi1O6,0.8995
Cu3Bi1Se2I1O8,0.1371
Li2Cu1Bi1P2O8,0.6625
K2Bi1P1W1O8,4.0502
Cd1H6C1Br3N3,3.1908
Cd1H8C2Br3N1,3.3781
Cr1P1C5Br3O5,2.243
Li1Eu2C1Br3N2,0.7451
Hg1H8C2Br3N1,2.5287
Hg1H4C4Br4N2,2.4169
H6Pb1C1Br3N1,2.0713
H6Pb1C1Br3N1,1.9688
H6Pb1C1Br3N1,2.1736
H6C1S1Br1N3,3.4555
K2Ir1C1Br5O1,1.815
K1C1Br1N2O4,2.0874
K2Pt1C4Br2N4,1.9429
K2Os1C1Br5O1,0.5206
Na3Mg1C2Br1O6,3.8547
Rb1Ni1C2Br1N2,0.8064
Pb1C1S1Br2N2,0.4604
Rb2Pt1C4Br2N4,2.0048
P1W1C5Br3O5,2.0011
Hg6S4I1Br2Cl1,1.4271
Zn1Co1Te1Br2O3,2.6265
Cs2Mn1V2Br2O6,1.859
Er1Cu1Te2Br1O6,0.3734
K1Zn1H4Br3O2,3.6805
K3Hg3S2Br5O6,1.999
K2Ru1Br5N1O1,1.6301
Ca1Ce1C2O6F1,0.0803
Ca1H2C1Cl1O3,3.5729
Cs1Ca1C1O3F1,4.5158
K1Ca1C1O3F1,4.3468
K2Ca2C2O3F2,0.3043
Rb1Ca1C1O3F1,4.2981
Ca1C2S2O6F6,5.9997
Ca1H6C2N4O4,4.6548
K3Ca1P1C1O7,4.313
Li3Ca1P1C1O7,4.873
Na3Ca1P1C1O7,4.2869
Na3Ca1P1C1O7,4.1902
Cd1Fe1C5N6O1,2.739
Cd1H8C4S4N6,3.2788
Na1Cd1H3C3O6,4.3047
Cd1H6C4S4O2,2.3204
